field,BDRICM_BDRICM_M,BDRLOG_BDRLOG_M,BDTICM_BDTICM_M,BLDFIE_sl1,BLDFIE_sl2,BLDFIE_sl3,BLDFIE_sl4,BLDFIE_sl5,BLDFIE_sl6,BLDFIE_sl7,CECSOL_sl1,CECSOL_sl2,CECSOL_sl3,CECSOL_sl4,CECSOL_sl5,CECSOL_sl6,CECSOL_sl7,CLYPPT_sl1,CLYPPT_sl2,CLYPPT_sl3,CLYPPT_sl4,CLYPPT_sl5,CLYPPT_sl6,CLYPPT_sl7,CRFVOL_sl1,CRFVOL_sl2,CRFVOL_sl3,CRFVOL_sl4,CRFVOL_sl5,CRFVOL_sl6,CRFVOL_sl7,OCSTHA_sd1,OCSTHA_sd2,OCSTHA_sd3,OCSTHA_sd4,OCSTHA_sd5,OCSTHA_sd6,ORCDRC_sl1,ORCDRC_sl2,ORCDRC_sl3,ORCDRC_sl4,ORCDRC_sl5,ORCDRC_sl6,ORCDRC_sl7,PHIHOX_sl1,PHIHOX_sl2,PHIHOX_sl3,PHIHOX_sl4,PHIHOX_sl5,PHIHOX_sl6,PHIHOX_sl7,PHIKCL_sl1,PHIKCL_sl2,PHIKCL_sl3,PHIKCL_sl4,PHIKCL_sl5,PHIKCL_sl6,PHIKCL_sl7,SLTPPT_sl1,SLTPPT_sl2,SLTPPT_sl3,SLTPPT_sl4,SLTPPT_sl5,SLTPPT_sl6,SLTPPT_sl7,SNDPPT_sl1,SNDPPT_sl2,SNDPPT_sl3,SNDPPT_sl4,SNDPPT_sl5,SNDPPT_sl6,SNDPPT_sl7
4,200,7,6973,1345,1308,1361,1413,1486,1503,1513,15,15,12,10,8,8,8,31,31,32,39,40,40,41,0,1,1,1,1,1,4,15,28,35,55,56,129,19,21,19,19,14,12,12,46,46,46,48,48,49,51,43,41,41,41,41,42,43,22,21,21,20,21,19,20,47,48,47,42,40,40,39
3,200,9,7272,1297,1287,1323,1428,1492,1508,1521,17,16,13,11,10,9,9,32,32,35,39,41,41,42,1,1,2,2,2,2,4,17,27,33,50,54,123,30,20,18,17,13,11,11,46,46,46,48,48,49,51,43,40,40,41,41,42,43,24,23,22,22,23,22,22,44,45,43,40,36,37,36
2,200,7,7281,1266,1249,1310,1387,1463,1491,1503,15,14,10,9,8,7,7,32,32,34,38,39,40,40,0,0,0,0,0,1,3,13,28,34,47,50,113,14,23,24,16,12,11,10,46,45,45,47,48,48,49,44,40,40,40,40,41,42,22,22,21,21,21,21,22,46,46,45,40,39,39,39
1,200,6,7457,1297,1277,1345,1409,1480,1506,1518,16,15,11,9,9,8,8,31,30,32,37,38,39,39,1,1,1,2,1,2,3,14,27,33,45,45,104,17,21,18,15,10,9,9,46,46,46,47,48,48,50,46,42,42,43,43,43,45,23,23,22,21,21,21,21,46,47,46,42,40,40,40
7,200,8,6771,1305,1289,1333,1438,1497,1510,1524,18,16,13,11,10,9,9,31,31,32,37,40,40,41,1,1,2,2,1,2,4,16,30,36,56,60,137,26,29,24,21,17,15,15,45,44,44,46,46,47,47,44,41,41,41,41,42,42,25,24,24,23,22,21,22,44,45,44,40,38,38,37
6,200,11,6991,1332,1324,1368,1422,1484,1501,1515,18,18,14,11,10,10,10,29,29,31,35,38,38,38,1,1,2,2,2,2,4,18,34,38,57,63,147,27,29,26,22,17,16,16,44,44,44,45,46,46,47,45,42,41,42,42,43,43,26,26,25,24,23,22,23,45,46,44,40,39,39,39
5,200,5,7303,1322,1277,1331,1416,1495,1514,1528,16,16,13,9,9,8,8,31,30,33,38,39,40,40,1,1,1,1,1,2,4,17,30,38,61,67,160,30,26,23,21,17,16,16,45,45,45,47,48,48,50,43,40,40,39,40,40,41,22,22,21,21,20,20,22,47,47,46,41,40,40,39
26,200,10,6471,1327,1303,1360,1424,1478,1495,1505,16,16,12,9,9,8,8,27,27,28,31,34,35,34,1,0,1,1,1,1,4,11,24,27,31,27,60,9,19,16,10,5,4,4,45,45,45,46,48,48,48,43,40,40,40,41,41,42,24,24,24,24,23,22,22,48,49,48,45,43,43,44
25,200,8,6288,1327,1306,1386,1434,1478,1508,1516,15,13,10,9,8,7,7,30,30,32,35,40,41,40,0,0,1,1,1,1,3,12,28,32,42,44,93,8,24,22,14,10,8,7,45,44,44,46,46,47,48,45,42,42,41,41,43,43,18,18,17,18,16,15,16,52,52,51,47,44,44,44
24,200,11,6866,1348,1308,1351,1421,1481,1490,1498,16,16,13,10,9,8,8,33,32,34,39,41,42,41,1,1,1,1,1,1,3,15,31,34,44,44,100,22,30,26,16,11,9,9,48,48,48,49,50,51,51,43,40,39,40,40,40,42,22,22,21,20,20,19,19,46,47,45,41,39,40,40
